Cod_setor;Situacao_setor;V001;V002;V003
350160805000209;1;104;0;0
350160805000210;1;274;0;0
350160805000211;1;199;0;0
350160805000212;1;201;0;0
350160805000213;1;84;0;0
350160805000214;1;98;0;0
350160805000215;1;103;0;0
350160805000216;1;101;0;0
350160805000217;1;244;0;0
350160805000218;1;109;0;0
350160805000219;1;70;0;0
350160805000220;1;23;0;0
350160805000221;1;43;0;0
350160805000222;1;142;0;0
350160805000223;1;110;1;0
350160805000224;1;169;0;0
350160805000225;1;158;0;0
350160805000226;1;108;0;0
350160805000227;1;155;0;3
350160805000228;1;201;0;0
350160805000229;1;281;0;0
350160805000230;1;218;0;0
350160805000231;1;132;0;0
350160805000232;1;132;0;0
350160805000233;1;255;3;0
350160805000234;1;111;0;0
350160805000235;1;171;1;0
350160805000236;1;81;0;0
350160805000237;1;280;0;0
350160805000238;1;171;0;0
350160805000239;1;153;0;0
350160805000240;1;233;1;0
350160805000241;8;123;0;0
350160805000242;6;66;0;0
350160805000243;1;209;0;0
350160805000244;1;83;0;0
350160805000245;1;114;0;0
350160805000246;1;204;0;1
350160805000247;1;206;0;0
350160805000248;1;163;0;0
350160805000249;1;121;0;0
350160805000250;1;165;0;0
350160805000251;1;131;0;0
350160805000252;1;108;0;0
350160805000253;1;119;0;0
350160805000254;1;167;0;0
350160805000255;1;45;0;0
350160805000256;1;174;0;0
350160805000257;1;159;0;0
350160805000258;1;3;X;X
350160805000259;1;107;0;0
350160805000260;1;67;0;0
350160805000261;1;80;0;0
350170705000001;1;53;0;0
350170705000002;1;48;0;0
350170705000003;1;133;0;0
350170705000004;1;55;0;0
350170705000005;1;66;0;1
350170705000006;1;82;0;0
350170705000007;1;110;0;0
350170705000008;1;150;0;0
350170705000009;1;154;0;0
350170705000010;1;113;0;0
350170705000011;1;170;0;0
350170705000012;1;281;0;0
350170705000013;1;73;0;0
350170705000014;1;194;3;0
350170705000015;1;102;0;0
350170705000016;1;122;0;0
350170705000017;1;130;0;0
350170705000018;1;153;0;0
350170705000019;1;164;0;0
350170705000020;1;227;0;1
350170705000021;1;153;0;0
350170705000022;1;351;0;0
350170705000023;1;220;0;0
350170705000024;1;129;0;0
350170705000025;1;119;0;0
350170705000026;1;111;0;0
350170705000027;1;93;0;0
350170705000028;1;227;0;0
350170705000029;1;314;0;1
350170705000030;1;263;0;0
350170705000031;1;229;0;0
350170705000032;1;206;0;0
350170705000033;1;24;0;0
350170705000034;1;127;0;0
350170705000035;1;98;0;0
350170705000036;8;44;0;0
350170705000037;8;5;0;0
350170705000038;1;201;0;0
350170705000039;1;198;0;0
350180605000001;1;99;0;0
350180605000002;1;67;0;0
350180605000003;1;108;0;0
350180605000004;1;110;0;0
350180605000005;1;169;0;0
350180605000006;1;0;X;X
350180605000007;1;81;0;0
350180605000008;8;22;X;X
350180605000009;8;35;0;0
350180605000010;8;28;0;0
350180605000011;8;26;0;0
350190505000001;1;17;0;0
350190505000002;1;87;0;0
350190505000003;1;38;0;0
350190505000004;1;30;0;0
350190505000005;1;38;0;0
350190505000006;1;43;0;0
350190505000007;1;45;1;0
350190505000008;1;19;0;0
350190505000009;1;59;0;0
350190505000010;1;90;0;0
350190505000011;1;65;0;1
350190505000012;1;1;X;X
350190505000013;1;114;0;0
350190505000014;1;93;0;0
350190505000015;1;49;0;0
350190505000016;1;77;0;0
350190505000017;1;80;0;0
350190505000018;1;70;0;0
350190505000019;1;44;0;0
350190505000020;1;51;0;0
350190505000021;1;65;2;0
350190505000022;1;66;0;0
350190505000023;1;130;0;0
350190505000024;1;97;0;0
350190505000025;1;112;0;0
350190505000026;1;88;0;0
350190505000027;1;33;0;0
350190505000028;1;32;0;0
350190505000029;1;29;0;0
350190505000030;1;71;0;0
350190505000031;1;97;0;2
350190505000032;1;65;0;0
350190505000033;1;66;0;0
350190505000034;1;0;0;0
350190505000035;1;121;0;0
350190505000036;1;116;0;0
350190505000037;1;118;0;0
350190505000038;1;98;0;0
