Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Adolfo;  3 557 ;   194 ;   231 ;   255 ;   162 ;   106 ;   288 ;Adolfo;   260 ;   239 ;   251 ;   534 ;   472 ;   316 ;   249 ;3500204;;;;;;;
Adolfo;  3 557 ;   194 ;   231 ;   255 ;   162 ;   106 ;   288 ;Adolfo;   260 ;   239 ;   251 ;   534 ;   472 ;   316 ;   249 ;350020405;;;;;;;
Aguaí;  32 148 ;  2 297 ;  2 302 ;  2 662 ;  1 727 ;  1 113 ;  2 903 ;Aguaí;  2 981 ;  2 539 ;  2 240 ;  4 214 ;  3 393 ;  2 054 ;  1 723 ;3500303;;;;;;;
Aguaí;  32 148 ;  2 297 ;  2 302 ;  2 662 ;  1 727 ;  1 113 ;  2 903 ;Aguaí;  2 981 ;  2 539 ;  2 240 ;  4 214 ;  3 393 ;  2 054 ;  1 723 ;350030305;;;;;;;
Águas da Prata;  7 584 ;   415 ;   446 ;   510 ;   359 ;   223 ;   592 ;Águas da Prata;   547 ;   502 ;   526 ;  1 091 ;   969 ;   674 ;   730 ;3500402;;;;;;;
Águas da Prata;  5 626 ;   292 ;   307 ;   363 ;   276 ;   161 ;   422 ;Águas da Prata;   393 ;   371 ;   373 ;   809 ;   738 ;   523 ;   598 ;350040205;;;;;;;
São Roque da Fartura;  1 958 ;   123 ;   139 ;   147 ;   83 ;   62 ;   170 ;São Roque da Fartura;   154 ;   131 ;   153 ;   282 ;   231 ;   151 ;   132 ;350040210;;;;;;;
Águas de Lindóia;  17 266 ;   997 ;  1 089 ;  1 335 ;   798 ;   518 ;  1 354 ;Águas de Lindóia;  1 475 ;  1 407 ;  1 259 ;  2 443 ;  1 975 ;  1 314 ;  1 302 ;3500501;;;;;;;
Águas de Lindóia;  17 266 ;   997 ;  1 089 ;  1 335 ;   798 ;   518 ;  1 354 ;Águas de Lindóia;  1 475 ;  1 407 ;  1 259 ;  2 443 ;  1 975 ;  1 314 ;  1 302 ;350050105;;;;;;;
Águas de Santa Bárbara;  5 601 ;   369 ;   385 ;   510 ;   273 ;   173 ;   402 ;Águas de Santa Bárbara;   429 ;   397 ;   415 ;   764 ;   649 ;   454 ;   381 ;3500550;;;;;;;
Águas de Santa Bárbara;  5 601 ;   369 ;   385 ;   510 ;   273 ;   173 ;   402 ;Águas de Santa Bárbara;   429 ;   397 ;   415 ;   764 ;   649 ;   454 ;   381 ;350055005;;;;;;;
Águas de São Pedro;  2 707 ;   116 ;   136 ;   180 ;   119 ;   82 ;   150 ;Águas de São Pedro;   173 ;   186 ;   181 ;   389 ;   322 ;   321 ;   352 ;3500600;;;;;;;
Águas de São Pedro;  2 707 ;   116 ;   136 ;   180 ;   119 ;   82 ;   150 ;Águas de São Pedro;   173 ;   186 ;   181 ;   389 ;   322 ;   321 ;   352 ;350060005;;;;;;;
Agudos;  34 524 ;  2 345 ;  2 443 ;  2 988 ;  1 927 ;  1 164 ;  3 076 ;Agudos;  2 991 ;  2 825 ;  2 621 ;  4 544 ;  3 680 ;  2 179 ;  1 741 ;3500709;;;;;;;
Agudos;  33 324 ;  2 257 ;  2 340 ;  2 876 ;  1 854 ;  1 131 ;  2 991 ;Agudos;  2 905 ;  2 735 ;  2 535 ;  4 371 ;  3 534 ;  2 105 ;  1 690 ;350070905;;;;;;;
Domélia;  1 200 ;   88 ;   103 ;   112 ;   73 ;   33 ;   85 ;Domélia;   86 ;   90 ;   86 ;   173 ;   146 ;   74 ;   51 ;350070910;;;;;;;
Alambari;  4 884 ;   359 ;   403 ;   471 ;   260 ;   156 ;   429 ;Alambari;   446 ;   389 ;   315 ;   578 ;   507 ;   322 ;   249 ;3500758;;;;;;;
Alambari;  4 884 ;   359 ;   403 ;   471 ;   260 ;   156 ;   429 ;Alambari;   446 ;   389 ;   315 ;   578 ;   507 ;   322 ;   249 ;350075805;;;;;;;
Alfredo Marcondes;  3 891 ;   185 ;   233 ;   256 ;   177 ;   116 ;   307 ;Alfredo Marcondes;   250 ;   269 ;   277 ;   559 ;   472 ;   405 ;   385 ;3500808;;;;;;;
Alfredo Marcondes;  3 891 ;   185 ;   233 ;   256 ;   177 ;   116 ;   307 ;Alfredo Marcondes;   250 ;   269 ;   277 ;   559 ;   472 ;   405 ;   385 ;350080805;;;;;;;
Altair;  3 815 ;   291 ;   279 ;   322 ;   174 ;   164 ;   346 ;Altair;   383 ;   334 ;   282 ;   507 ;   315 ;   244 ;   174 ;3500907;;;;;;;
Altair;  3 002 ;   235 ;   215 ;   224 ;   133 ;   131 ;   278 ;Altair;   318 ;   277 ;   212 ;   385 ;   255 ;   195 ;   144 ;350090705;;;;;;;
Suinana;   813 ;   56 ;   64 ;   98 ;   41 ;   33 ;   68 ;Suinana;   65 ;   57 ;   70 ;   122 ;   60 ;   49 ;   30 ;350090715;;;;;;;
Altinópolis;  15 607 ;   890 ;  1 049 ;  1 306 ;   799 ;   501 ;  1 285 ;Altinópolis;  1 331 ;  1 243 ;  1 033 ;  2 083 ;  1 807 ;  1 237 ;  1 043 ;3501004;;;;;;;
Altinópolis;  15 607 ;   890 ;  1 049 ;  1 306 ;   799 ;   501 ;  1 285 ;Altinópolis;  1 331 ;  1 243 ;  1 033 ;  2 083 ;  1 807 ;  1 237 ;  1 043 ;350100405;;;;;;;
Alto Alegre;  4 102 ;   218 ;   223 ;   274 ;   163 ;   134 ;   341 ;Alto Alegre;   312 ;   271 ;   276 ;   565 ;   517 ;   430 ;   378 ;3501103;;;;;;;
Alto Alegre;  3 071 ;   163 ;   159 ;   210 ;   116 ;   95 ;   253 ;Alto Alegre;   236 ;   217 ;   210 ;   417 ;   400 ;   319 ;   276 ;350110305;;;;;;;
Jatobá;   690 ;   32 ;   34 ;   47 ;   32 ;   27 ;   61 ;Jatobá;   48 ;   36 ;   42 ;   94 ;   90 ;   75 ;   72 ;350110310;;;;;;;
São Martinho d'Oeste;   341 ;   23 ;   30 ;   17 ;   15 ;   12 ;   27 ;São Martinho d'Oeste;   28 ;   18 ;   24 ;   54 ;   27 ;   36 ;   30 ;350110315;;;;;;;
Alumínio;  16 839 ;  1 242 ;  1 431 ;  1 536 ;   895 ;   566 ;  1 491 ;Alumínio;  1 552 ;  1 493 ;  1 370 ;  2 273 ;  1 475 ;   897 ;   618 ;3501152;;;;;;;
Alumínio;  16 839 ;  1 242 ;  1 431 ;  1 536 ;   895 ;   566 ;  1 491 ;Alumínio;  1 552 ;  1 493 ;  1 370 ;  2 273 ;  1 475 ;   897 ;   618 ;350115205;;;;;;;
Álvares Florence;  3 897 ;   164 ;   192 ;   265 ;   159 ;   115 ;   251 ;Álvares Florence;   247 ;   227 ;   274 ;   642 ;   549 ;   459 ;   353 ;3501202;;;;;;;
Álvares Florence;  3 375 ;   147 ;   168 ;   235 ;   142 ;   97 ;   226 ;Álvares Florence;   221 ;   212 ;   240 ;   545 ;   463 ;   381 ;   298 ;350120205;;;;;;;
Boa Vista dos Andradas;   522 ;   17 ;   24 ;   30 ;   17 ;   18 ;   25 ;Boa Vista dos Andradas;   26 ;   15 ;   34 ;   97 ;   86 ;   78 ;   55 ;350120210;;;;;;;
Álvares Machado;  23 513 ;  1 431 ;  1 734 ;  1 960 ;  1 275 ;   793 ;  2 004 ;Álvares Machado;  1 751 ;  1 735 ;  1 752 ;  3 354 ;  2 511 ;  1 784 ;  1 429 ;3501301;;;;;;;
Álvares Machado;  22 490 ;  1 373 ;  1 662 ;  1 887 ;  1 225 ;   767 ;  1 936 ;Álvares Machado;  1 687 ;  1 675 ;  1 686 ;  3 196 ;  2 370 ;  1 677 ;  1 349 ;350130105;;;;;;;
Coronel Goulart;  1 023 ;   58 ;   72 ;   73 ;   50 ;   26 ;   68 ;Coronel Goulart;   64 ;   60 ;   66 ;   158 ;   141 ;   107 ;   80 ;350130110;;;;;;;
Álvaro de Carvalho;  4 650 ;   260 ;   253 ;   315 ;   165 ;   100 ;   547 ;Álvaro de Carvalho;   720 ;   571 ;   386 ;   489 ;   387 ;   252 ;   205 ;3501400;;;;;;;
Álvaro de Carvalho;  4 650 ;   260 ;   253 ;   315 ;   165 ;   100 ;   547 ;Álvaro de Carvalho;   720 ;   571 ;   386 ;   489 ;   387 ;   252 ;   205 ;350140005;;;;;;;
Alvinlândia;  3 000 ;   221 ;   218 ;   290 ;   157 ;   96 ;   247 ;Alvinlândia;   230 ;   265 ;   198 ;   376 ;   305 ;   227 ;   170 ;3501509;;;;;;;
Alvinlândia;  3 000 ;   221 ;   218 ;   290 ;   157 ;   96 ;   247 ;Alvinlândia;   230 ;   265 ;   198 ;   376 ;   305 ;   227 ;   170 ;350150905;;;;;;;
Americana;  210 638 ;  11 838 ;  12 374 ;  14 558 ;  9 335 ;  6 688 ;  18 006 ;Americana;  19 026 ;  17 716 ;  16 361 ;  32 384 ;  25 421 ;  14 525 ;  12 406 ;3501608;;;;;;;
Americana;  210 638 ;  11 838 ;  12 374 ;  14 558 ;  9 335 ;  6 688 ;  18 006 ;Americana;  19 026 ;  17 716 ;  16 361 ;  32 384 ;  25 421 ;  14 525 ;  12 406 ;350160805;;;;;;;
Américo Brasiliense;  34 478 ;  2 557 ;  2 569 ;  3 071 ;  1 842 ;  1 237 ;  3 415 ;Américo Brasiliense;  3 369 ;  3 195 ;  2 763 ;  4 691 ;  3 028 ;  1 677 ;  1 064 ;3501707;;;;;;;
Américo Brasiliense;  34 478 ;  2 557 ;  2 569 ;  3 071 ;  1 842 ;  1 237 ;  3 415 ;Américo Brasiliense;  3 369 ;  3 195 ;  2 763 ;  4 691 ;  3 028 ;  1 677 ;  1 064 ;350170705;;;;;;;
Américo de Campos;  5 706 ;   304 ;   346 ;   445 ;   250 ;   158 ;   446 ;Américo de Campos;   402 ;   419 ;   357 ;   847 ;   729 ;   562 ;   441 ;3501806;;;;;;;
Américo de Campos;  5 706 ;   304 ;   346 ;   445 ;   250 ;   158 ;   446 ;Américo de Campos;   402 ;   419 ;   357 ;   847 ;   729 ;   562 ;   441 ;350180605;;;;;;;
Amparo;  65 829 ;  3 581 ;  4 014 ;  4 701 ;  3 023 ;  2 117 ;  5 673 ;Amparo;  5 952 ;  5 251 ;  5 084 ;  9 330 ;  7 678 ;  4 842 ;  4 583 ;3501905;;;;;;;
Amparo;  52 507 ;  2 744 ;  3 114 ;  3 633 ;  2 360 ;  1 645 ;  4 430 ;Amparo;  4 679 ;  4 173 ;  4 026 ;  7 482 ;  6 212 ;  4 054 ;  3 955 ;350190505;;;;;;;
Arcadas;  11 614 ;   737 ;   768 ;   915 ;   567 ;   411 ;  1 073 ;Arcadas;  1 137 ;   929 ;   912 ;  1 618 ;  1 298 ;   675 ;   574 ;350190510;;;;;;;
Três Pontes;  1 708 ;   100 ;   132 ;   153 ;   96 ;   61 ;   170 ;Três Pontes;   136 ;   149 ;   146 ;   230 ;   168 ;   113 ;   54 ;350190515;;;;;;;
Analândia;  4 293 ;   302 ;   312 ;   336 ;   224 ;   138 ;   359 ;Analândia;   376 ;   302 ;   317 ;   558 ;   456 ;   323 ;   290 ;3502002;;;;;;;
Analândia;  4 293 ;   302 ;   312 ;   336 ;   224 ;   138 ;   359 ;Analândia;   376 ;   302 ;   317 ;   558 ;   456 ;   323 ;   290 ;350200205;;;;;;;
Andradina;  55 334 ;  3 130 ;  3 340 ;  4 042 ;  2 563 ;  1 641 ;  4 475 ;Andradina;  4 425 ;  4 486 ;  4 227 ;  8 103 ;  6 504 ;  4 602 ;  3 796 ;3502101;;;;;;;
Andradina;  55 334 ;  3 130 ;  3 340 ;  4 042 ;  2 563 ;  1 641 ;  4 475 ;Andradina;  4 425 ;  4 486 ;  4 227 ;  8 103 ;  6 504 ;  4 602 ;  3 796 ;350210105;;;;;;;
Angatuba;  22 210 ;  1 548 ;  1 700 ;  1 913 ;  1 144 ;   809 ;  1 853 ;Angatuba;  1 766 ;  1 661 ;  1 616 ;  3 149 ;  2 406 ;  1 507 ;  1 138 ;3502200;;;;;;;
Angatuba;  18 650 ;  1 280 ;  1 420 ;  1 552 ;   936 ;   677 ;  1 584 ;Angatuba;  1 532 ;  1 399 ;  1 365 ;  2 636 ;  2 056 ;  1 243 ;   970 ;350220005;;;;;;;
Bom Retiro da Esperança;  3 560 ;   268 ;   280 ;   361 ;   208 ;   132 ;   269 ;Bom Retiro da Esperança;   234 ;   262 ;   251 ;   513 ;   350 ;   264 ;   168 ;350220008;;;;;;;
Anhembi;  5 653 ;   444 ;   470 ;   534 ;   308 ;   181 ;   416 ;Anhembi;   433 ;   457 ;   416 ;   740 ;   579 ;   373 ;   302 ;3502309;;;;;;;
Anhembi;  4 260 ;   337 ;   360 ;   396 ;   224 ;   132 ;   318 ;Anhembi;   350 ;   359 ;   297 ;   556 ;   441 ;   265 ;   225 ;350230905;;;;;;;
Pirambóia;  1 393 ;   107 ;   110 ;   138 ;   84 ;   49 ;   98 ;Pirambóia;   83 ;   98 ;   119 ;   184 ;   138 ;   108 ;   77 ;350230910;;;;;;;
Anhumas;  3 738 ;   230 ;   272 ;   326 ;   190 ;   128 ;   317 ;Anhumas;   285 ;   280 ;   253 ;   544 ;   395 ;   269 ;   249 ;3502408;;;;;;;
Anhumas;  3 738 ;   230 ;   272 ;   326 ;   190 ;   128 ;   317 ;Anhumas;   285 ;   280 ;   253 ;   544 ;   395 ;   269 ;   249 ;350240805;;;;;;;
Aparecida;  35 007 ;  2 226 ;  2 329 ;  2 674 ;  1 793 ;  1 247 ;  3 134 ;Aparecida;  3 066 ;  2 680 ;  2 608 ;  4 975 ;  3 988 ;  2 401 ;  1 886 ;3502507;;;;;;;
Aparecida;  35 007 ;  2 226 ;  2 329 ;  2 674 ;  1 793 ;  1 247 ;  3 134 ;Aparecida;  3 066 ;  2 680 ;  2 608 ;  4 975 ;  3 988 ;  2 401 ;  1 886 ;350250705;;;;;;;
Aparecida d'Oeste;  4 450 ;   211 ;   269 ;   342 ;   202 ;   136 ;   309 ;Aparecida d'Oeste;   249 ;   305 ;   314 ;   667 ;   604 ;   420 ;   422 ;3502606;;;;;;;
Aparecida d'Oeste;  4 450 ;   211 ;   269 ;   342 ;   202 ;   136 ;   309 ;Aparecida d'Oeste;   249 ;   305 ;   314 ;   667 ;   604 ;   420 ;   422 ;350260605;;;;;;;
Apiaí;  25 191 ;  1 796 ;  2 186 ;  2 762 ;  1 591 ;   898 ;  1 903 ;Apiaí;  1 949 ;  1 848 ;  1 863 ;  3 160 ;  2 439 ;  1 544 ;  1 252 ;3502705;;;;;;;
Apiaí;  19 109 ;  1 351 ;  1 608 ;  2 036 ;  1 189 ;   663 ;  1 430 ;Apiaí;  1 471 ;  1 390 ;  1 425 ;  2 383 ;  1 948 ;  1 210 ;  1 005 ;350270505;;;;;;;
Araçaíba;  1 622 ;   131 ;   162 ;   221 ;   104 ;   63 ;   114 ;Araçaíba;   111 ;   106 ;   110 ;   194 ;   143 ;   92 ;   71 ;350270510;;;;;;;
Lageado de Araçaíba;  3 161 ;   221 ;   297 ;   380 ;   210 ;   129 ;   238 ;Lageado de Araçaíba;   263 ;   257 ;   237 ;   402 ;   249 ;   157 ;   121 ;350270525;;;;;;;
Palmitalzinho;  1 299 ;   93 ;   119 ;   125 ;   88 ;   43 ;   121 ;Palmitalzinho;   104 ;   95 ;   91 ;   181 ;   99 ;   85 ;   55 ;350270530;;;;;;;
Araçariguama;  17 080 ;  1 514 ;  1 502 ;  1 658 ;   923 ;   654 ;  1 651 ;Araçariguama;  1 532 ;  1 448 ;  1 319 ;  2 093 ;  1 440 ;   814 ;   532 ;3502754;;;;;;;
Araçariguama;  17 080 ;  1 514 ;  1 502 ;  1 658 ;   923 ;   654 ;  1 651 ;Araçariguama;  1 532 ;  1 448 ;  1 319 ;  2 093 ;  1 440 ;   814 ;   532 ;350275405;;;;;;;
Araçatuba;  181 579 ;  10 340 ;  10 543 ;  12 974 ;  8 068 ;  5 347 ;  14 584 ;Araçatuba;  15 326 ;  14 865 ;  14 160 ;  27 668 ;  22 081 ;  13 785 ;  11 838 ;3502804;;;;;;;
Araçatuba;  181 579 ;  10 340 ;  10 543 ;  12 974 ;  8 068 ;  5 347 ;  14 584 ;Araçatuba;  15 326 ;  14 865 ;  14 160 ;  27 668 ;  22 081 ;  13 785 ;  11 838 ;350280405;;;;;;;
Araçoiaba da Serra;  27 299 ;  1 808 ;  1 929 ;  2 426 ;  1 370 ;   913 ;  2 142 ;Araçoiaba da Serra;  2 125 ;  2 106 ;  2 077 ;  3 810 ;  3 100 ;  2 015 ;  1 478 ;3502903;;;;;;;
Araçoiaba da Serra;  27 299 ;  1 808 ;  1 929 ;  2 426 ;  1 370 ;   913 ;  2 142 ;Araçoiaba da Serra;  2 125 ;  2 106 ;  2 077 ;  3 810 ;  3 100 ;  2 015 ;  1 478 ;350290305;;;;;;;
Aramina;  5 152 ;   297 ;   319 ;   394 ;   254 ;   181 ;   450 ;Aramina;   433 ;   364 ;   352 ;   781 ;   584 ;   393 ;   350 ;3503000;;;;;;;
Aramina;  5 152 ;   297 ;   319 ;   394 ;   254 ;   181 ;   450 ;Aramina;   433 ;   364 ;   352 ;   781 ;   584 ;   393 ;   350 ;350300005;;;;;;;
Arandu;  6 123 ;   386 ;   448 ;   585 ;   361 ;   235 ;   506 ;Arandu;   464 ;   507 ;   431 ;   777 ;   674 ;   422 ;   327 ;3503109;;;;;;;
Arandu;  6 123 ;   386 ;   448 ;   585 ;   361 ;   235 ;   506 ;Arandu;   464 ;   507 ;   431 ;   777 ;   674 ;   422 ;   327 ;350310905;;;;;;;
Arapeí;  2 493 ;   166 ;   188 ;   222 ;   140 ;   81 ;   196 ;Arapeí;   175 ;   159 ;   168 ;   389 ;   256 ;   172 ;   181 ;3503158;;;;;;;
Arapeí;  2 493 ;   166 ;   188 ;   222 ;   140 ;   81 ;   196 ;Arapeí;   175 ;   159 ;   168 ;   389 ;   256 ;   172 ;   181 ;350315805;;;;;;;
Araraquara;  208 662 ;  11 770 ;  12 033 ;  14 447 ;  9 227 ;  6 646 ;  18 420 ;Araraquara;  18 934 ;  17 919 ;  15 604 ;  30 024 ;  24 535 ;  15 290 ;  13 813 ;3503208;;;;;;;
Araraquara;  147 246 ;  8 287 ;  8 481 ;  10 211 ;  6 526 ;  4 780 ;  12 882 ;Araraquara;  13 152 ;  12 543 ;  11 036 ;  21 388 ;  17 360 ;  10 704 ;  9 896 ;350320805;;;;;;;
Bueno de Andrada;  1 695 ;   99 ;   133 ;   161 ;   101 ;   45 ;   132 ;Bueno de Andrada;   113 ;   124 ;   120 ;   216 ;   199 ;   173 ;   79 ;350320810;;;;;;;
Vila Xavier;  59 721 ;  3 384 ;  3 419 ;  4 075 ;  2 600 ;  1 821 ;  5 406 ;Vila Xavier;  5 669 ;  5 252 ;  4 448 ;  8 420 ;  6 976 ;  4 413 ;  3 838 ;350320825;;;;;;;
Araras;  118 843 ;  7 118 ;  7 291 ;  8 974 ;  5 728 ;  3 981 ;  10 637 ;Araras;  10 909 ;  9 865 ;  8 989 ;  16 979 ;  13 518 ;  8 097 ;  6 757 ;3503307;;;;;;;
Araras;  118 843 ;  7 118 ;  7 291 ;  8 974 ;  5 728 ;  3 981 ;  10 637 ;Araras;  10 909 ;  9 865 ;  8 989 ;  16 979 ;  13 518 ;  8 097 ;  6 757 ;350330705;;;;;;;
Arco-Íris;  1 925 ;   107 ;   110 ;   139 ;   100 ;   65 ;   145 ;Arco-Íris;   143 ;   135 ;   131 ;   269 ;   242 ;   191 ;   148 ;3503356;;;;;;;
Arco-Íris;  1 925 ;   107 ;   110 ;   139 ;   100 ;   65 ;   145 ;Arco-Íris;   143 ;   135 ;   131 ;   269 ;   242 ;   191 ;   148 ;350335605;;;;;;;
Arealva;  7 841 ;   437 ;   507 ;   588 ;   362 ;   234 ;   579 ;Arealva;   542 ;   532 ;   499 ;  1 131 ;   973 ;   767 ;   690 ;3503406;;;;;;;
Arealva;  6 395 ;   360 ;   417 ;   481 ;   294 ;   187 ;   494 ;Arealva;   457 ;   430 ;   412 ;   937 ;   750 ;   611 ;   565 ;350340605;;;;;;;
Jacuba;  1 446 ;   77 ;   90 ;   107 ;   68 ;   47 ;   85 ;Jacuba;   85 ;   102 ;   87 ;   194 ;   223 ;   156 ;   125 ;350340610;;;;;;;
Areias;  3 696 ;   268 ;   316 ;   363 ;   230 ;   119 ;   283 ;Areias;   263 ;   285 ;   264 ;   486 ;   370 ;   228 ;   221 ;3503505;;;;;;;
Areias;  3 696 ;   268 ;   316 ;   363 ;   230 ;   119 ;   283 ;Areias;   263 ;   285 ;   264 ;   486 ;   370 ;   228 ;   221 ;350350505;;;;;;;
Areiópolis;  10 579 ;   782 ;   908 ;   985 ;   581 ;   401 ;  1 100 ;Areiópolis;   939 ;   826 ;   856 ;  1 395 ;   899 ;   524 ;   383 ;3503604;;;;;;;
Areiópolis;  10 579 ;   782 ;   908 ;   985 ;   581 ;   401 ;  1 100 ;Areiópolis;   939 ;   826 ;   856 ;  1 395 ;   899 ;   524 ;   383 ;350360405;;;;;;;
Ariranha;  8 547 ;   563 ;   562 ;   650 ;   406 ;   230 ;   801 ;Ariranha;   769 ;   696 ;   671 ;  1 142 ;   925 ;   569 ;   563 ;3503703;;;;;;;
Ariranha;  8 547 ;   563 ;   562 ;   650 ;   406 ;   230 ;   801 ;Ariranha;   769 ;   696 ;   671 ;  1 142 ;   925 ;   569 ;   563 ;350370305;;;;;;;
Artur Nogueira;  44 177 ;  3 065 ;  3 304 ;  3 776 ;  2 200 ;  1 503 ;  4 149 ;Artur Nogueira;  4 311 ;  3 785 ;  3 492 ;  6 017 ;  4 187 ;  2 519 ;  1 869 ;3503802;;;;;;;
Artur Nogueira;  44 177 ;  3 065 ;  3 304 ;  3 776 ;  2 200 ;  1 503 ;  4 149 ;Artur Nogueira;  4 311 ;  3 785 ;  3 492 ;  6 017 ;  4 187 ;  2 519 ;  1 869 ;350380205;;;;;;;
Arujá;  74 905 ;  5 342 ;  6 175 ;  7 112 ;  4 080 ;  2 638 ;  6 570 ;Arujá;  6 698 ;  6 403 ;  5 773 ;  10 291 ;  7 619 ;  3 765 ;  2 439 ;3503901;;;;;;;
Arujá;  74 905 ;  5 342 ;  6 175 ;  7 112 ;  4 080 ;  2 638 ;  6 570 ;Arujá;  6 698 ;  6 403 ;  5 773 ;  10 291 ;  7 619 ;  3 765 ;  2 439 ;350390105;;;;;;;
Aspásia;  1 809 ;   89 ;   109 ;   128 ;   110 ;   41 ;   142 ;Aspásia;   111 ;   106 ;   134 ;   301 ;   226 ;   178 ;   134 ;3503950;;;;;;;
Aspásia;  1 809 ;   89 ;   109 ;   128 ;   110 ;   41 ;   142 ;Aspásia;   111 ;   106 ;   134 ;   301 ;   226 ;   178 ;   134 ;350395005;;;;;;;
Assis;  95 144 ;  5 686 ;  5 722 ;  6 781 ;  4 311 ;  3 063 ;  8 436 ;Assis;  8 065 ;  7 769 ;  7 003 ;  13 636 ;  11 226 ;  7 093 ;  6 353 ;3504008;;;;;;;
Assis;  95 144 ;  5 686 ;  5 722 ;  6 781 ;  4 311 ;  3 063 ;  8 436 ;Assis;  8 065 ;  7 769 ;  7 003 ;  13 636 ;  11 226 ;  7 093 ;  6 353 ;350400805;;;;;;;
Atibaia;  126 603 ;  7 985 ;  9 003 ;  10 469 ;  6 200 ;  3 971 ;  10 778 ;Atibaia;  10 802 ;  10 444 ;  9 647 ;  17 610 ;  13 545 ;  8 678 ;  7 471 ;3504107;;;;;;;
Atibaia;  126 603 ;  7 985 ;  9 003 ;  10 469 ;  6 200 ;  3 971 ;  10 778 ;Atibaia;  10 802 ;  10 444 ;  9 647 ;  17 610 ;  13 545 ;  8 678 ;  7 471 ;350410705;;;;;;;
Auriflama;  14 202 ;   750 ;   860 ;   971 ;   740 ;   506 ;  1 193 ;Auriflama;  1 095 ;  1 099 ;  1 034 ;  2 147 ;  1 604 ;  1 166 ;  1 037 ;3504206;;;;;;;
Auriflama;  14 202 ;   750 ;   860 ;   971 ;   740 ;   506 ;  1 193 ;Auriflama;  1 095 ;  1 099 ;  1 034 ;  2 147 ;  1 604 ;  1 166 ;  1 037 ;350420605;;;;;;;
Avaí;  4 959 ;   337 ;   367 ;   462 ;   328 ;   177 ;   411 ;Avaí;   355 ;   366 ;   355 ;   666 ;   526 ;   335 ;   274 ;3504305;;;;;;;
Avaí;  4 494 ;   314 ;   329 ;   414 ;   290 ;   165 ;   380 ;Avaí;   331 ;   327 ;   313 ;   604 ;   480 ;   289 ;   258 ;350430505;;;;;;;
Nogueira;   465 ;   23 ;   38 ;   48 ;   38 ;   12 ;   31 ;Nogueira;   24 ;   39 ;   42 ;   62 ;   46 ;   46 ;   16 ;350430510;;;;;;;
Avanhandava;  11 310 ;   780 ;   771 ;   930 ;   559 ;   417 ;  1 360 ;Avanhandava;  1 190 ;   912 ;   836 ;  1 449 ;  1 005 ;   622 ;   479 ;3504404;;;;;;;
Avanhandava;  11 310 ;   780 ;   771 ;   930 ;   559 ;   417 ;  1 360 ;Avanhandava;  1 190 ;   912 ;   836 ;  1 449 ;  1 005 ;   622 ;   479 ;350440405;;;;;;;
Avaré;  82 934 ;  5 410 ;  5 729 ;  6 490 ;  4 030 ;  2 701 ;  7 415 ;Avaré;  7 232 ;  7 103 ;  6 166 ;  10 979 ;  9 083 ;  5 693 ;  4 903 ;3504503;;;;;;;
Avaré;  82 934 ;  5 410 ;  5 729 ;  6 490 ;  4 030 ;  2 701 ;  7 415 ;Avaré;  7 232 ;  7 103 ;  6 166 ;  10 979 ;  9 083 ;  5 693 ;  4 903 ;350450305;;;;;;;
Bady Bassitt;  14 603 ;   887 ;   944 ;  1 183 ;   697 ;   452 ;  1 159 ;Bady Bassitt;  1 202 ;  1 294 ;  1 271 ;  2 162 ;  1 598 ;   958 ;   796 ;3504602;;;;;;;
Bady Bassitt;  14 603 ;   887 ;   944 ;  1 183 ;   697 ;   452 ;  1 159 ;Bady Bassitt;  1 202 ;  1 294 ;  1 271 ;  2 162 ;  1 598 ;   958 ;   796 ;350460205;;;;;;;
Balbinos;  3 702 ;   85 ;   90 ;   99 ;   57 ;   61 ;   603 ;Balbinos;   804 ;   654 ;   382 ;   396 ;   236 ;   117 ;   118 ;3504701;;;;;;;
Balbinos;  3 702 ;   85 ;   90 ;   99 ;   57 ;   61 ;   603 ;Balbinos;   804 ;   654 ;   382 ;   396 ;   236 ;   117 ;   118 ;350470105;;;;;;;
