Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Guaratinguetá;  402 133 ;  26 075 ;  27 850 ;  32 318 ;  20 140 ;  13 574 ;  34 891 ;Guaratinguetá;  35 169 ;  32 600 ;  29 431 ;  56 053 ;  44 995 ;  27 672 ;  21 365 ;35051;;;;;;;
Guarulhos; 1 347 337 ;  98 510 ;  107 272 ;  123 177 ;  70 394 ;  44 528 ;  122 013 ;Guarulhos;  125 627 ;  119 294 ;  108 600 ;  185 910 ;  129 764 ;  68 322 ;  43 926 ;35059;;;;;;;
Itanhaém;  218 798 ;  16 337 ;  17 551 ;  20 639 ;  11 401 ;  6 662 ;  15 798 ;Itanhaém;  16 022 ;  16 240 ;  15 020 ;  26 840 ;  24 691 ;  18 368 ;  13 229 ;35056;;;;;;;
Itapecerica da Serra;  986 998 ;  74 301 ;  79 321 ;  92 789 ;  52 718 ;  32 937 ;  89 778 ;Itapecerica da Serra;  94 139 ;  89 796 ;  79 787 ;  132 003 ;  92 425 ;  48 394 ;  28 610 ;35060;;;;;;;
Itapetininga;  191 603 ;  12 994 ;  14 654 ;  16 648 ;  9 937 ;  6 540 ;  17 271 ;Itapetininga;  17 606 ;  16 071 ;  13 915 ;  24 815 ;  19 671 ;  11 845 ;  9 636 ;35042;;;;;;;
Itapeva;  240 465 ;  17 570 ;  19 838 ;  23 607 ;  14 028 ;  8 279 ;  19 741 ;Itapeva;  19 492 ;  18 362 ;  17 006 ;  31 457 ;  24 003 ;  15 016 ;  12 066 ;35041;;;;;;;
Ituverava;  95 710 ;  6 229 ;  6 707 ;  7 569 ;  4 641 ;  3 146 ;  8 256 ;Ituverava;  8 575 ;  7 795 ;  6 723 ;  12 819 ;  10 497 ;  6 953 ;  5 800 ;35011;;;;;;;
Jaboticabal;  408 199 ;  25 151 ;  27 371 ;  32 033 ;  20 425 ;  13 306 ;  36 199 ;Jaboticabal;  36 348 ;  32 775 ;  29 768 ;  56 319 ;  44 432 ;  28 568 ;  25 504 ;35013;;;;;;;
Jales;  149 197 ;  7 788 ;  8 621 ;  10 620 ;  6 898 ;  4 434 ;  11 512 ;Jales;  11 209 ;  11 247 ;  10 728 ;  21 904 ;  18 776 ;  13 669 ;  11 791 ;35001;;;;;;;
Jaú;  346 342 ;  22 174 ;  23 516 ;  27 199 ;  16 812 ;  11 219 ;  29 660 ;Jaú;  30 542 ;  28 465 ;  25 799 ;  48 443 ;  38 296 ;  23 058 ;  21 159 ;35021;;;;;;;
