Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Águas de Santa Bárbara;  5 601 ;  2 779 ;  2 822 ;  4 259 ;  2 059 ;  2 200 ;  1 342 ;   720 ;   622 ;3500550;;;;;;;;
Águas de Santa Bárbara;  5 601 ;  2 779 ;  2 822 ;  4 259 ;  2 059 ;  2 200 ;  1 342 ;   720 ;   622 ;350055005;;;;;;;;
Águas de São Pedro;  2 707 ;  1 262 ;  1 445 ;  2 707 ;  1 262 ;  1 445 ;- ;- ;- ;3500600;;;;;;;;
Águas de São Pedro;  2 707 ;  1 262 ;  1 445 ;  2 707 ;  1 262 ;  1 445 ;- ;- ;- ;350060005;;;;;;;;
Agudos;  34 524 ;  17 076 ;  17 448 ;  32 993 ;  16 226 ;  16 767 ;  1 531 ;   850 ;   681 ;3500709;;;;;;;;
Agudos;  33 324 ;  16 445 ;  16 879 ;  32 459 ;  15 950 ;  16 509 ;   865 ;   495 ;   370 ;350070905;;;;;;;;
Domélia;  1 200 ;   631 ;   569 ;   534 ;   276 ;   258 ;   666 ;   355 ;   311 ;350070910;;;;;;;;
Alambari;  4 884 ;  2 456 ;  2 428 ;  3 672 ;  1 839 ;  1 833 ;  1 212 ;   617 ;   595 ;3500758;;;;;;;;
Alambari;  4 884 ;  2 456 ;  2 428 ;  3 672 ;  1 839 ;  1 833 ;  1 212 ;   617 ;   595 ;350075805;;;;;;;;
Alfredo Marcondes;  3 891 ;  1 981 ;  1 910 ;  3 255 ;  1 633 ;  1 622 ;   636 ;   348 ;   288 ;3500808;;;;;;;;
Alfredo Marcondes;  3 891 ;  1 981 ;  1 910 ;  3 255 ;  1 633 ;  1 622 ;   636 ;   348 ;   288 ;350080805;;;;;;;;
Altair;  3 815 ;  2 051 ;  1 764 ;  3 022 ;  1 617 ;  1 405 ;   793 ;   434 ;   359 ;3500907;;;;;;;;
Altair;  3 002 ;  1 611 ;  1 391 ;  2 587 ;  1 383 ;  1 204 ;   415 ;   228 ;   187 ;350090705;;;;;;;;
Suinana;   813 ;   440 ;   373 ;   435 ;   234 ;   201 ;   378 ;   206 ;   172 ;350090715;;;;;;;;
Altinópolis;  15 607 ;  7 808 ;  7 799 ;  13 636 ;  6 754 ;  6 882 ;  1 971 ;  1 054 ;   917 ;3501004;;;;;;;;
Altinópolis;  15 607 ;  7 808 ;  7 799 ;  13 636 ;  6 754 ;  6 882 ;  1 971 ;  1 054 ;   917 ;350100405;;;;;;;;
Alto Alegre;  4 102 ;  2 109 ;  1 993 ;  3 234 ;  1 643 ;  1 591 ;   868 ;   466 ;   402 ;3501103;;;;;;;;
Alto Alegre;  3 071 ;  1 567 ;  1 504 ;  2 441 ;  1 231 ;  1 210 ;   630 ;   336 ;   294 ;350110305;;;;;;;;
Jatobá;   690 ;   364 ;   326 ;   557 ;   292 ;   265 ;   133 ;   72 ;   61 ;350110310;;;;;;;;
São Martinho d'Oeste;   341 ;   178 ;   163 ;   236 ;   120 ;   116 ;   105 ;   58 ;   47 ;350110315;;;;;;;;
Alumínio;  16 839 ;  8 500 ;  8 339 ;  14 123 ;  7 089 ;  7 034 ;  2 716 ;  1 411 ;  1 305 ;3501152;;;;;;;;
Alumínio;  16 839 ;  8 500 ;  8 339 ;  14 123 ;  7 089 ;  7 034 ;  2 716 ;  1 411 ;  1 305 ;350115205;;;;;;;;
Álvares Florence;  3 897 ;  1 999 ;  1 898 ;  2 648 ;  1 343 ;  1 305 ;  1 249 ;   656 ;   593 ;3501202;;;;;;;;
