Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Parque Residencial Piracicaba;  8 677 ;  4 304 ;  4 373 ;  8 677 ;  4 304 ;  4 373 ;- ;- ;- ;3538709060;;;;;;;;
Paulicéia;  12 020 ;  5 771 ;  6 249 ;  12 020 ;  5 771 ;  6 249 ;- ;- ;- ;3538709031;;;;;;;;
Paulista;  8 772 ;  4 188 ;  4 584 ;  8 772 ;  4 188 ;  4 584 ;- ;- ;- ;3538709035;;;;;;;;
Piracicamirim;  6 429 ;  3 078 ;  3 351 ;  6 429 ;  3 078 ;  3 351 ;- ;- ;- ;3538709008;;;;;;;;
Pompéia;  9 031 ;  4 488 ;  4 543 ;  9 031 ;  4 488 ;  4 543 ;- ;- ;- ;3538709026;;;;;;;;
Santa Cecília;  2 740 ;  1 324 ;  1 416 ;  2 740 ;  1 324 ;  1 416 ;- ;- ;- ;3538709015;;;;;;;;
Santa Rita;  1 993 ;  1 021 ;   972 ;  1 993 ;  1 021 ;   972 ;- ;- ;- ;3538709022;;;;;;;;
Santa Rosa;  5 271 ;  2 620 ;  2 651 ;  5 271 ;  2 620 ;  2 651 ;- ;- ;- ;3538709056;;;;;;;;
Santa Terezinha;  12 434 ;  6 204 ;  6 230 ;  12 434 ;  6 204 ;  6 230 ;- ;- ;- ;3538709057;;;;;;;;
São Dimas;  4 013 ;  1 905 ;  2 108 ;  4 013 ;  1 905 ;  2 108 ;- ;- ;- ;3538709013;;;;;;;;
São Jorge;  5 411 ;  2 722 ;  2 689 ;  5 411 ;  2 722 ;  2 689 ;- ;- ;- ;3538709041;;;;;;;;
São Judas;   908 ;   447 ;   461 ;   908 ;   447 ;   461 ;- ;- ;- ;3538709012;;;;;;;;
Unileste;   55 ;   31 ;   24 ;   55 ;   31 ;   24 ;- ;- ;- ;3538709019;;;;;;;;
Vale do Sol;   976 ;   492 ;   484 ;   976 ;   492 ;   484 ;- ;- ;- ;3538709059;;;;;;;;
Vila Cristina;  14 871 ;  7 379 ;  7 492 ;  14 871 ;  7 379 ;  7 492 ;- ;- ;- ;3538709034;;;;;;;;
Vila Fátima;  3 681 ;  1 849 ;  1 832 ;  3 681 ;  1 849 ;  1 832 ;- ;- ;- ;3538709052;;;;;;;;
Vila Independência;  4 024 ;  1 842 ;  2 182 ;  4 024 ;  1 842 ;  2 182 ;- ;- ;- ;3538709011;;;;;;;;
Vila Industrial;  4 914 ;  2 400 ;  2 514 ;  4 914 ;  2 400 ;  2 514 ;- ;- ;- ;3538709053;;;;;;;;
Vila Monteiro;  6 276 ;  2 987 ;  3 289 ;  6 276 ;  2 987 ;  3 289 ;- ;- ;- ;3538709010;;;;;;;;
Vila Rezende;  5 793 ;  2 715 ;  3 078 ;  5 793 ;  2 715 ;  3 078 ;- ;- ;- ;3538709048;;;;;;;;
Vila Sônia;  19 946 ;  9 957 ;  9 989 ;  19 946 ;  9 957 ;  9 989 ;- ;- ;- ;3538709058;;;;;;;;
Praia Grande;  262 051 ;  125 926 ;  136 125 ;  262 051 ;  125 926 ;  136 125 ;- ;- ;- ;3541000;;;;;;;;
Andaraguá;X ;X ;X ;X ;X ;X ;X ;X ;X ;3541000018;;;;;;;;
Anhanguera;  12 793 ;  6 193 ;  6 600 ;  12 793 ;  6 193 ;  6 600 ;- ;- ;- ;3541000019;;;;;;;;
Antartica;  13 564 ;  6 583 ;  6 981 ;  13 564 ;  6 583 ;  6 981 ;- ;- ;- ;3541000014;;;;;;;;
Aviação;  9 342 ;  4 406 ;  4 936 ;  9 342 ;  4 406 ;  4 936 ;- ;- ;- ;3541000003;;;;;;;;
Boqueirão;  9 961 ;  4 486 ;  5 475 ;  9 961 ;  4 486 ;  5 475 ;- ;- ;- ;3541000001;;;;;;;;
Caiçara;  9 404 ;  4 452 ;  4 952 ;  9 404 ;  4 452 ;  4 952 ;- ;- ;- ;3541000007;;;;;;;;
Canto do Forte;  15 363 ;  7 179 ;  8 184 ;  15 363 ;  7 179 ;  8 184 ;- ;- ;- ;3541000026;;;;;;;;
Cidade da Criança;  2 530 ;  1 206 ;  1 324 ;  2 530 ;  1 206 ;  1 324 ;- ;- ;- ;3541000010;;;;;;;;
Esmeralda;  10 910 ;  5 397 ;  5 513 ;  10 910 ;  5 397 ;  5 513 ;-  ;-  ;-  ;3541000032;;;;;;;;
Flórida;  1 572 ;   738 ;   834 ;  1 572 ;   738 ;   834 ;- ;- ;- ;3541000008;;;;;;;;
Glória;  5 769 ;  2 833 ;  2 936 ;  5 769 ;  2 833 ;  2 936 ;-  ;-  ;-  ;3541000035;;;;;;;;
Guilhermina;  15 013 ;  6 964 ;  8 049 ;  15 013 ;  6 964 ;  8 049 ;- ;- ;- ;3541000002;;;;;;;;
Imperador;   80 ;   41 ;   39 ;   80 ;   41 ;   39 ;-  ;-  ;-  ;3541000030;;;;;;;;
Maracanã;  6 586 ;  3 159 ;  3 427 ;  6 586 ;  3 159 ;  3 427 ;- ;- ;- ;3541000027;;;;;;;;
Melvi;  10 512 ;  5 075 ;  5 437 ;  10 512 ;  5 075 ;  5 437 ;- ;- ;- ;3541000011;;;;;;;;
Militar;   127 ;   62 ;   65 ;   127 ;   62 ;   65 ;- ;- ;- ;3541000016;;;;;;;;
Mirim;  5 307 ;  2 595 ;  2 712 ;  5 307 ;  2 595 ;  2 712 ;- ;- ;- ;3541000006;;;;;;;;
Nova Mirim;  14 945 ;  7 305 ;  7 640 ;  14 945 ;  7 305 ;  7 640 ;-  ;-  ;-  ;3541000034;;;;;;;;
Ocian;  12 317 ;  5 684 ;  6 633 ;  12 317 ;  5 684 ;  6 633 ;- ;- ;- ;3541000005;;;;;;;;
Princesa;  2 726 ;  1 361 ;  1 365 ;  2 726 ;  1 361 ;  1 365 ;- ;- ;- ;3541000029;;;;;;;;
Quietude;  9 434 ;  4 602 ;  4 832 ;  9 434 ;  4 602 ;  4 832 ;- ;- ;- ;3541000013;;;;;;;;
Real;  3 909 ;  1 911 ;  1 998 ;  3 909 ;  1 911 ;  1 998 ;- ;- ;- ;3541000028;;;;;;;;
Ribeirópolis;  10 274 ;  5 160 ;  5 114 ;  10 274 ;  5 160 ;  5 114 ;- ;- ;- ;3541000017;;;;;;;;
Samambaia;  12 835 ;  6 217 ;  6 618 ;  12 835 ;  6 217 ;  6 618 ;- ;- ;- ;3541000031;;;;;;;;
Santa Marina;  3 384 ;  1 701 ;  1 683 ;  3 384 ;  1 701 ;  1 683 ;- ;- ;- ;3541000022;;;;;;;;
Sítio do Campo;  15 682 ;  7 600 ;  8 082 ;  15 682 ;  7 600 ;  8 082 ;- ;- ;- ;3541000015;;;;;;;;
Solemar;  1 472 ;   728 ;   744 ;  1 472 ;   728 ;   744 ;- ;- ;- ;3541000009;;;;;;;;
Tupiry;  11 669 ;  5 768 ;  5 901 ;  11 669 ;  5 768 ;  5 901 ;- ;- ;- ;3541000021;;;;;;;;
Tupy;  13 941 ;  6 420 ;  7 521 ;  13 941 ;  6 420 ;  7 521 ;- ;- ;- ;3541000004;;;;;;;;
Vila Sônia;  20 463 ;  9 933 ;  10 530 ;  20 463 ;  9 933 ;  10 530 ;- ;- ;- ;3541000023;;;;;;;;
Presidente Prudente;  207 610 ;  99 894 ;  107 716 ;  203 375 ;  97 102 ;  106 273 ;  4 235 ;  2 792 ;  1 443 ;3541406;;;;;;;;
Uep1-S.1;  5 085 ;  2 217 ;  2 868 ;  5 085 ;  2 217 ;  2 868 ;- ;- ;- ;3541406001;;;;;;;;
Uep1-S.2;  15 253 ;  6 982 ;  8 271 ;  15 253 ;  6 982 ;  8 271 ;- ;- ;- ;3541406002;;;;;;;;
Uep1-S.3;  8 898 ;  4 088 ;  4 810 ;  8 898 ;  4 088 ;  4 810 ;- ;- ;- ;3541406003;;;;;;;;
Uep1-S.4;  11 811 ;  5 602 ;  6 209 ;  11 811 ;  5 602 ;  6 209 ;- ;- ;- ;3541406004;;;;;;;;
Uep2-S.1;  6 849 ;  3 193 ;  3 656 ;  6 849 ;  3 193 ;  3 656 ;- ;- ;- ;3541406005;;;;;;;;
Uep2-S.2;  2 992 ;  1 438 ;  1 554 ;  2 992 ;  1 438 ;  1 554 ;- ;- ;- ;3541406006;;;;;;;;
Uep2-S.3;  3 587 ;  1 704 ;  1 883 ;  3 587 ;  1 704 ;  1 883 ;- ;- ;- ;3541406007;;;;;;;;
Uep3-S.1;  5 737 ;  2 755 ;  2 982 ;  5 737 ;  2 755 ;  2 982 ;- ;- ;- ;3541406008;;;;;;;;
Uep3-S.2;  15 129 ;  7 108 ;  8 021 ;  15 129 ;  7 108 ;  8 021 ;- ;- ;- ;3541406009;;;;;;;;
Uep3-S.3;  8 583 ;  4 169 ;  4 414 ;  8 583 ;  4 169 ;  4 414 ;- ;- ;- ;3541406010;;;;;;;;
Uep3-S.4;  4 120 ;  2 022 ;  2 098 ;  4 120 ;  2 022 ;  2 098 ;- ;- ;- ;3541406011;;;;;;;;
Uep4-S.1;  10 916 ;  5 275 ;  5 641 ;  10 916 ;  5 275 ;  5 641 ;- ;- ;- ;3541406012;;;;;;;;
Uep4-S.2;  1 445 ;   723 ;   722 ;  1 445 ;   723 ;   722 ;- ;- ;- ;3541406013;;;;;;;;
Uep4-S.3;  7 364 ;  3 601 ;  3 763 ;  7 364 ;  3 601 ;  3 763 ;- ;- ;- ;3541406014;;;;;;;;
Uep5-S.1;  6 406 ;  3 121 ;  3 285 ;  6 406 ;  3 121 ;  3 285 ;- ;- ;- ;3541406015;;;;;;;;
Uep5-S.2;  7 564 ;  3 664 ;  3 900 ;  7 564 ;  3 664 ;  3 900 ;- ;- ;- ;3541406016;;;;;;;;
Uep5-S.3;  5 721 ;  2 754 ;  2 967 ;  5 721 ;  2 754 ;  2 967 ;- ;- ;- ;3541406017;;;;;;;;
Uep6-S.1;  14 813 ;  6 988 ;  7 825 ;  14 813 ;  6 988 ;  7 825 ;- ;- ;- ;3541406018;;;;;;;;
Uep6-S.2;  24 241 ;  11 740 ;  12 501 ;  24 241 ;  11 740 ;  12 501 ;- ;- ;- ;3541406019;;;;;;;;
Uep6-S.3;  1 205 ;   654 ;   551 ;  1 205 ;   654 ;   551 ;- ;- ;- ;3541406020;;;;;;;;
Uep7-S.1;   77 ;   39 ;   38 ;   77 ;   39 ;   38 ;- ;- ;- ;3541406021;;;;;;;;
Uep8-S.1;   332 ;   170 ;   162 ;   332 ;   170 ;   162 ;- ;- ;- ;3541406022;;;;;;;;
Uep8-S.2;  2 586 ;  1 288 ;  1 298 ;  2 586 ;  1 288 ;  1 298 ;- ;- ;- ;3541406023;;;;;;;;
Uep8-S.3;   459 ;   228 ;   231 ;   459 ;   228 ;   231 ;- ;- ;- ;3541406024;;;;;;;;
Uep8-S.4;  2 034 ;   937 ;  1 097 ;  2 034 ;   937 ;  1 097 ;- ;- ;- ;3541406025;;;;;;;;
Ribeirão Pires;  113 068 ;  55 318 ;  57 750 ;  113 068 ;  55 318 ;  57 750 ;- ;- ;- ;3543303;;;;;;;;
Aliança;  15 982 ;  7 865 ;  8 117 ;  15 982 ;  7 865 ;  8 117 ;- ;- ;- ;3543303009;;;;;;;;
Barro Branco;  1 874 ;   917 ;   957 ;  1 874 ;   917 ;   957 ;- ;- ;- ;3543303001;;;;;;;;
Bocaina;  5 716 ;  2 808 ;  2 908 ;  5 716 ;  2 808 ;  2 908 ;- ;- ;- ;3543303016;;;;;;;;
Casa Vermelha;   453 ;   225 ;   228 ;   453 ;   225 ;   228 ;- ;- ;- ;3543303025;;;;;;;;
Centro;  3 295 ;  1 540 ;  1 755 ;  3 295 ;  1 540 ;  1 755 ;- ;- ;- ;3543303008;;;;;;;;
Centro Alto;  4 997 ;  2 369 ;  2 628 ;  4 997 ;  2 369 ;  2 628 ;- ;- ;- ;3543303014;;;;;;;;
Centro Ouro Fino Paulista;  3 508 ;  1 759 ;  1 749 ;  3 508 ;  1 759 ;  1 749 ;- ;- ;- ;3543303018;;;;;;;;
Colônia;  9 023 ;  4 308 ;  4 715 ;  9 023 ;  4 308 ;  4 715 ;- ;- ;- ;3543303005;;;;;;;;
Guapituba;  1 513 ;   717 ;   796 ;  1 513 ;   717 ;   796 ;- ;- ;- ;3543303011;;;;;;;;
Itrapoã;  2 174 ;  1 102 ;  1 072 ;  2 174 ;  1 102 ;  1 072 ;- ;- ;- ;3543303022;;;;;;;;
Km 4;  1 318 ;   657 ;   661 ;  1 318 ;   657 ;   661 ;- ;- ;- ;3543303026;;;;;;;;
Pastoril;  1 401 ;   663 ;   738 ;  1 401 ;   663 ;   738 ;- ;- ;- ;3543303006;;;;;;;;
Pilar Velho;  4 585 ;  2 313 ;  2 272 ;  4 585 ;  2 313 ;  2 272 ;- ;- ;- ;3543303010;;;;;;;;
Ponte Seca;  5 159 ;  2 519 ;  2 640 ;  5 159 ;  2 519 ;  2 640 ;- ;- ;- ;3543303007;;;;;;;;
Pouso Alegre;  4 272 ;  2 146 ;  2 126 ;  4 272 ;  2 146 ;  2 126 ;- ;- ;- ;3543303023;;;;;;;;
Quarta Divisão;  4 251 ;  2 084 ;  2 167 ;  4 251 ;  2 084 ;  2 167 ;- ;- ;- ;3543303021;;;;;;;;
Reprêsa;  6 688 ;  3 364 ;  3 324 ;  6 688 ;  3 364 ;  3 324 ;- ;- ;- ;3543303013;;;;;;;;
Roncon;  5 988 ;  2 904 ;  3 084 ;  5 988 ;  2 904 ;  3 084 ;- ;- ;- ;3543303003;;;;;;;;
Santa Luzia;  9 475 ;  4 635 ;  4 840 ;  9 475 ;  4 635 ;  4 840 ;- ;- ;- ;3543303002;;;;;;;;
Santana;  3 777 ;  1 817 ;  1 960 ;  3 777 ;  1 817 ;  1 960 ;- ;- ;- ;3543303004;;;;;;;;
São Caetaninho;  3 344 ;  1 655 ;  1 689 ;  3 344 ;  1 655 ;  1 689 ;- ;- ;- ;3543303017;;;;;;;;
Sertãozinho;   340 ;   182 ;   158 ;   340 ;   182 ;   158 ;- ;- ;- ;3543303012;;;;;;;;
Soma;  1 459 ;   730 ;   729 ;  1 459 ;   730 ;   729 ;- ;- ;- ;3543303024;;;;;;;;
Suíssa;  8 889 ;  4 249 ;  4 640 ;  8 889 ;  4 249 ;  4 640 ;- ;- ;- ;3543303015;;;;;;;;
Tanque Caio;  2 731 ;  1 358 ;  1 373 ;  2 731 ;  1 358 ;  1 373 ;- ;- ;- ;3543303020;;;;;;;;
Tecelão;   856 ;   432 ;   424 ;   856 ;   432 ;   424 ;- ;- ;- ;3543303019;;;;;;;;
Ribeirão Preto;  604 682 ;  290 171 ;  314 511 ;  602 966 ;  289 272 ;  313 694 ;  1 716 ;   899 ;   817 ;3543402;;;;;;;;
(L-10);  19 335 ;  9 557 ;  9 778 ;  19 335 ;  9 557 ;  9 778 ;- ;- ;- ;3543402049;;;;;;;;
(L-11);  16 542 ;  9 080 ;  7 462 ;  16 542 ;  9 080 ;  7 462 ;- ;- ;- ;3543402050;;;;;;;;
(L-12);  1 243 ;   637 ;   606 ;  1 243 ;   637 ;   606 ;- ;- ;- ;3543402051;;;;;;;;
(L-13);  4 220 ;  2 028 ;  2 192 ;  4 220 ;  2 028 ;  2 192 ;- ;- ;- ;3543402052;;;;;;;;
(L-9);  17 976 ;  8 988 ;  8 988 ;  17 976 ;  8 988 ;  8 988 ;- ;- ;- ;3543402048;;;;;;;;
(N-15);X ;X ;X ;X ;X ;X ;X ;X ;X ;3543402043;;;;;;;;
(N-18);   253 ;   146 ;   107 ;   253 ;   146 ;   107 ;- ;- ;- ;3543402046;;;;;;;;
(N-19);  2 801 ;  1 415 ;  1 386 ;  2 801 ;  1 415 ;  1 386 ;- ;- ;- ;3543402047;;;;;;;;
(O-13);   290 ;   152 ;   138 ;   290 ;   152 ;   138 ;- ;- ;- ;3543402053;;;;;;;;
(O-16);   34 ;   13 ;   21 ;   34 ;   13 ;   21 ;- ;- ;- ;3543402056;;;;;;;;
Setor Central - C;  19 083 ;  8 133 ;  10 950 ;  19 083 ;  8 133 ;  10 950 ;- ;- ;- ;3543402001;;;;;;;;
Subsetor Leste - 1 (L-1);  4 696 ;  2 075 ;  2 621 ;  4 696 ;  2 075 ;  2 621 ;- ;- ;- ;3543402016;;;;;;;;
Subsetor Leste - 2 (L-2);  22 463 ;  10 011 ;  12 452 ;  22 463 ;  10 011 ;  12 452 ;- ;- ;- ;3543402017;;;;;;;;
Subsetor Leste - 3 (L-3);  9 084 ;  4 179 ;  4 905 ;  9 084 ;  4 179 ;  4 905 ;- ;- ;- ;3543402018;;;;;;;;
Subsetor Leste - 4 (L-4);   986 ;   466 ;   520 ;   986 ;   466 ;   520 ;- ;- ;- ;3543402019;;;;;;;;
Subsetor Leste - 5 (L-5);  6 967 ;  3 178 ;  3 789 ;  6 967 ;  3 178 ;  3 789 ;- ;- ;- ;3543402020;;;;;;;;
Subsetor Leste - 6 (L-6);  4 905 ;  2 347 ;  2 558 ;  4 905 ;  2 347 ;  2 558 ;- ;- ;- ;3543402021;;;;;;;;
Subsetor Leste - 7 (L-7);  12 094 ;  5 936 ;  6 158 ;  12 094 ;  5 936 ;  6 158 ;- ;- ;- ;3543402022;;;;;;;;
Subsetor Leste - 8 (L-8);  6 777 ;  3 164 ;  3 613 ;  6 777 ;  3 164 ;  3 613 ;- ;- ;- ;3543402023;;;;;;;;
Subsetor Norte - 1 (N-1);  35 526 ;  16 407 ;  19 119 ;  35 526 ;  16 407 ;  19 119 ;- ;- ;- ;3543402002;;;;;;;;
Subsetor Norte - 10 (N-10);  26 453 ;  12 595 ;  13 858 ;  26 453 ;  12 595 ;  13 858 ;- ;- ;- ;3543402011;;;;;;;;
Subsetor Norte - 11 (N-11);  8 507 ;  4 156 ;  4 351 ;  8 507 ;  4 156 ;  4 351 ;- ;- ;- ;3543402012;;;;;;;;
Subsetor Norte - 12 (N-12);   735 ;   355 ;   380 ;   735 ;   355 ;   380 ;- ;- ;- ;3543402013;;;;;;;;
Subsetor Norte - 13 (N-13);  11 867 ;  6 093 ;  5 774 ;  11 867 ;  6 093 ;  5 774 ;- ;- ;- ;3543402014;;;;;;;;
Subsetor Norte - 14 (N-14);  3 425 ;  1 732 ;  1 693 ;  3 425 ;  1 732 ;  1 693 ;- ;- ;- ;3543402015;;;;;;;;
Subsetor Norte - 2 (N-2);  27 843 ;  13 527 ;  14 316 ;  27 843 ;  13 527 ;  14 316 ;- ;- ;- ;3543402003;;;;;;;;
Subsetor Norte - 3 (N-3);  20 011 ;  9 723 ;  10 288 ;  20 011 ;  9 723 ;  10 288 ;- ;- ;- ;3543402004;;;;;;;;
Subsetor Norte - 4 (N-4);  8 308 ;  4 211 ;  4 097 ;  8 308 ;  4 211 ;  4 097 ;- ;- ;- ;3543402005;;;;;;;;
Subsetor Norte - 5 (N-5);  6 949 ;  3 253 ;  3 696 ;  6 949 ;  3 253 ;  3 696 ;- ;- ;- ;3543402006;;;;;;;;
Subsetor Norte - 6 (N-6);  31 974 ;  15 475 ;  16 499 ;  31 974 ;  15 475 ;  16 499 ;- ;- ;- ;3543402007;;;;;;;;
Subsetor Norte - 7 (N-7);  15 306 ;  7 353 ;  7 953 ;  15 306 ;  7 353 ;  7 953 ;- ;- ;- ;3543402008;;;;;;;;
Subsetor Norte - 8 (N-8);  3 949 ;  1 924 ;  2 025 ;  3 949 ;  1 924 ;  2 025 ;- ;- ;- ;3543402009;;;;;;;;
Subsetor Norte - 9 (N-9);  1 015 ;   532 ;   483 ;  1 015 ;   532 ;   483 ;- ;- ;- ;3543402010;;;;;;;;
Subsetor Oeste - 1 (O-1);  20 138 ;  9 500 ;  10 638 ;  20 138 ;  9 500 ;  10 638 ;- ;- ;- ;3543402031;;;;;;;;
Subsetor Oeste - 10 (O-10);  2 144 ;  1 020 ;  1 124 ;  2 144 ;  1 020 ;  1 124 ;- ;- ;- ;3543402040;;;;;;;;
Subsetor Oeste - 11 (N-11);   813 ;   433 ;   380 ;   813 ;   433 ;   380 ;- ;- ;- ;3543402041;;;;;;;;
Subsetor Oeste - 12 (O-12);  30 036 ;  14 612 ;  15 424 ;  30 036 ;  14 612 ;  15 424 ;- ;- ;- ;3543402042;;;;;;;;
Subsetor Oeste - 2 (O-2);  18 715 ;  8 565 ;  10 150 ;  18 715 ;  8 565 ;  10 150 ;- ;- ;- ;3543402032;;;;;;;;
Subsetor Oeste - 3 (O-3);  14 543 ;  7 046 ;  7 497 ;  14 543 ;  7 046 ;  7 497 ;- ;- ;- ;3543402033;;;;;;;;
Subsetor Oeste - 4 (O-4);  17 723 ;  8 584 ;  9 139 ;  17 723 ;  8 584 ;  9 139 ;- ;- ;- ;3543402034;;;;;;;;
Subsetor Oeste - 5 (O-5);  12 624 ;  6 084 ;  6 540 ;  12 624 ;  6 084 ;  6 540 ;- ;- ;- ;3543402035;;;;;;;;
Subsetor Oeste - 6 (O-6);  30 291 ;  14 275 ;  16 016 ;  30 291 ;  14 275 ;  16 016 ;- ;- ;- ;3543402036;;;;;;;;
Subsetor Oeste - 7 (O-7);  19 137 ;  9 685 ;  9 452 ;  19 137 ;  9 685 ;  9 452 ;- ;- ;- ;3543402037;;;;;;;;
Subsetor Oeste - 8 (O-8);  10 289 ;  5 101 ;  5 188 ;  10 289 ;  5 101 ;  5 188 ;- ;- ;- ;3543402038;;;;;;;;
Subsetor Oeste - 9 (O-9);   673 ;   399 ;   274 ;   673 ;   399 ;   274 ;- ;- ;- ;3543402039;;;;;;;;
Subsetor Sul - 1 (S-1);  5 630 ;  2 581 ;  3 049 ;  5 630 ;  2 581 ;  3 049 ;- ;- ;- ;3543402024;;;;;;;;
Subsetor Sul - 2 (S-2);  2 382 ;  1 094 ;  1 288 ;  2 382 ;  1 094 ;  1 288 ;- ;- ;- ;3543402025;;;;;;;;
Subsetor Sul - 3 (S-3);  19 010 ;  8 698 ;  10 312 ;  19 010 ;  8 698 ;  10 312 ;- ;- ;- ;3543402026;;;;;;;;
Subsetor Sul - 4 (S-4);  1 712 ;   816 ;   896 ;  1 712 ;   816 ;   896 ;- ;- ;- ;3543402027;;;;;;;;
Subsetor Sul - 5 (S-5);  15 724 ;  7 481 ;  8 243 ;  15 724 ;  7 481 ;  8 243 ;- ;- ;- ;3543402028;;;;;;;;
Subsetor Sul - 6 (S-6);  5 516 ;  2 694 ;  2 822 ;  5 516 ;  2 694 ;  2 822 ;- ;- ;- ;3543402029;;;;;;;;
Subsetor Sul - 7 (S-7);  3 086 ;  1 451 ;  1 635 ;  3 086 ;  1 451 ;  1 635 ;- ;- ;- ;3543402030;;;;;;;;
(S-10);   7 ;   5 ;   2 ;   7 ;   5 ;   2 ;- ;- ;- ;3543402059;;;;;;;;
(S-8);  3 800 ;  1 834 ;  1 966 ;  3 800 ;  1 834 ;  1 966 ;- ;- ;- ;3543402057;;;;;;;;
(S-9);  1 496 ;   720 ;   776 ;  1 496 ;   720 ;   776 ;- ;- ;- ;3543402058;;;;;;;;
Rio Claro;  186 253 ;  90 687 ;  95 566 ;  181 720 ;  88 224 ;  93 496 ;  4 533 ;  2 463 ;  2 070 ;3543907;;;;;;;;
Alto do Santana;  8 138 ;  3 970 ;  4 168 ;  8 138 ;  3 970 ;  4 168 ;- ;- ;- ;3543907003;;;;;;;;
Arco-Íris;  10 462 ;  5 099 ;  5 363 ;  10 462 ;  5 099 ;  5 363 ;- ;- ;- ;3543907015;;;;;;;;
Bela Vista;  5 649 ;  2 693 ;  2 956 ;  5 649 ;  2 693 ;  2 956 ;- ;- ;- ;3543907018;;;;;;;;
Centenário;  2 177 ;  1 090 ;  1 087 ;  2 177 ;  1 090 ;  1 087 ;- ;- ;- ;3543907021;;;;;;;;
Centro;  10 455 ;  4 680 ;  5 775 ;  10 455 ;  4 680 ;  5 775 ;- ;- ;- ;3543907006;;;;;;;;
Cidade Jardim;  6 751 ;  3 190 ;  3 561 ;  6 751 ;  3 190 ;  3 561 ;- ;- ;- ;3543907007;;;;;;;;
Cidade Nova;  1 285 ;   608 ;   677 ;  1 285 ;   608 ;   677 ;- ;- ;- ;3543907019;;;;;;;;
Consolação;  11 023 ;  5 100 ;  5 923 ;  11 023 ;  5 100 ;  5 923 ;- ;- ;- ;3543907008;;;;;;;;
Distrito Industrial;   230 ;   116 ;   114 ;   230 ;   116 ;   114 ;- ;- ;- ;3543907012;;;;;;;;
Grande Cervezão;  15 103 ;  7 521 ;  7 582 ;  15 103 ;  7 521 ;  7 582 ;- ;- ;- ;3543907010;;;;;;;;
Inocoop;  4 010 ;  1 910 ;  2 100 ;  4 010 ;  1 910 ;  2 100 ;- ;- ;- ;3543907022;;;;;;;;
Jardim América;  5 772 ;  2 758 ;  3 014 ;  5 772 ;  2 758 ;  3 014 ;- ;- ;- ;3543907016;;;;;;;;
Jardim das Palmeiras;  7 648 ;  3 776 ;  3 872 ;  7 648 ;  3 776 ;  3 872 ;- ;- ;- ;3543907024;;;;;;;;
Jardim Floridiana;  4 382 ;  2 157 ;  2 225 ;  4 382 ;  2 157 ;  2 225 ;- ;- ;- ;3543907011;;;;;;;;
Jardim Guanabara;  4 578 ;  2 280 ;  2 298 ;  4 578 ;  2 280 ;  2 298 ;- ;- ;- ;3543907025;;;;;;;;
Jardim Nova Rio Claro;   848 ;   416 ;   432 ;   848 ;   416 ;   432 ;- ;- ;- ;3543907026;;;;;;;;
Jardim Novo Wenzel;  4 650 ;  2 412 ;  2 238 ;  4 650 ;  2 412 ;  2 238 ;- ;- ;- ;3543907023;;;;;;;;
Jardim Novo/Terra Nova;  7 420 ;  3 690 ;  3 730 ;  7 420 ;  3 690 ;  3 730 ;- ;- ;- ;3543907027;;;;;;;;
Jardim São Paulo;  4 916 ;  2 380 ;  2 536 ;  4 916 ;  2 380 ;  2 536 ;- ;- ;- ;3543907002;;;;;;;;
Mãe Preta;  10 074 ;  4 971 ;  5 103 ;  10 074 ;  4 971 ;  5 103 ;- ;- ;- ;3543907014;;;;;;;;
Recanto Paraíso;  13 667 ;  6 800 ;  6 867 ;  13 667 ;  6 800 ;  6 867 ;- ;- ;- ;3543907001;;;;;;;;
Residencial Florença;  2 577 ;  1 228 ;  1 349 ;  2 577 ;  1 228 ;  1 349 ;- ;- ;- ;3543907013;;;;;;;;
Santa Maria;  11 249 ;  5 650 ;  5 599 ;  11 249 ;  5 650 ;  5 599 ;- ;- ;- ;3543907009;;;;;;;;
Santana;  7 737 ;  3 598 ;  4 139 ;  7 737 ;  3 598 ;  4 139 ;- ;- ;- ;3543907004;;;;;;;;
Vila Nova;  7 656 ;  3 642 ;  4 014 ;  7 656 ;  3 642 ;  4 014 ;- ;- ;- ;3543907017;;;;;;;;
Vila Paulista;  3 068 ;  1 468 ;  1 600 ;  3 068 ;  1 468 ;  1 600 ;- ;- ;- ;3543907020;;;;;;;;
Wenzel;  7 268 ;  3 552 ;  3 716 ;  7 268 ;  3 552 ;  3 716 ;- ;- ;- ;3543907005;;;;;;;;
Santa Cruz das Palmeiras;  29 932 ;  15 222 ;  14 710 ;  29 000 ;  14 735 ;  14 265 ;   932 ;   487 ;   445 ;3546306;;;;;;;;
