"","Região","Subsetor","Trabalhadores"
"317","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"318","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"319","Centro","Indústria têxtil do vestuário e artefatos de tecidos",4
"320","Centro","Comércio varejista",1
"321","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"322","Centro","Comércio varejista",6
"323","Centro","Comércio varejista",3
"324","Centro","Comércio varejista",7
"325","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"326","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"327","Centro","Comércio varejista",10
"328","Centro","Comércio varejista",1
"329","Centro","Serviços médicos, odontológicos e veterinários",5
"330","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"331","Centro","Comércio varejista",17
"332","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"333","Centro","Comércio varejista",6
"334","Centro","Comércio varejista",13
"335","Centro","Comércio varejista",1
"336","Centro","Comércio varejista",2
"337","Centro","Comércio varejista",3
"338","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",6
"339","Centro","Instituiçoes de crédito, seguros e capitalizaçao",23
"340","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"341","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",7
"342","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"343","Centro","Serviços médicos, odontológicos e veterinários",5
"344","Centro","Instituiçoes de crédito, seguros e capitalizaçao",10
"345","Centro","Transportes e comunicaçoes",0
"346","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",5
"347","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"348","Centro","Ensino",31
"349","Centro","Comércio varejista",5
"350","Centro","Transportes e comunicaçoes",2
"351","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",62
"352","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"353","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"354","Centro","Comércio varejista",2
"355","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"356","Centro","Serviços médicos, odontológicos e veterinários",1
"357","Centro","Comércio varejista",4
"358","Centro","Indústria têxtil do vestuário e artefatos de tecidos",1
"359","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"360","Centro","Comércio varejista",2
"361","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"362","Centro","Comércio varejista",2
"363","Centro","Comércio varejista",4
"364","Centro","Serviços médicos, odontológicos e veterinários",1
"365","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",14
"366","Centro","Comércio varejista",2
"367","Centro","Transportes e comunicaçoes",2
"368","Centro","Transportes e comunicaçoes",2
"369","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"370","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"371","Centro","Comércio atacadista",2
"372","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"373","Centro","Construçao civil",0
"374","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",11
"375","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"376","Centro","Comércio varejista",1
"377","Centro","Comércio varejista",1
"378","Centro","Comércio varejista",2
"379","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"380","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"381","Centro","Serviços médicos, odontológicos e veterinários",2
"382","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
"383","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"384","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"385","Centro","Comércio varejista",4
"386","Centro","Instituiçoes de crédito, seguros e capitalizaçao",0
"387","Centro","Serviços médicos, odontológicos e veterinários",1
"388","Centro","Serviços médicos, odontológicos e veterinários",7
